file_name,var_sites_num,cluster_name,count,snp_level,cuttoff,include,clock_start,clock_lb,clock_ub,xml,ascertainment,beast,mcc_tree,mean_tree_height
snp10_lineage_1_cluster_6.fasta,28,snp10_lineage_1_cluster_6,9,10,16,TRUE,0.015,0.0015,0.075,TRUE,TRUE,TRUE,TRUE,10.965
snp10_lineage_1_cluster_7.fasta,28,snp10_lineage_1_cluster_7,8,10,14,TRUE,0.015,0.0015,0.075,TRUE,TRUE,TRUE,TRUE,5.083
snp10_lineage_1_cluster_8.fasta,28,snp10_lineage_1_cluster_8,6,10,10,TRUE,0.015,0.0015,0.075,TRUE,TRUE,TRUE,TRUE,5.703
snp10_lineage_2_cluster_17.fasta,17,snp10_lineage_2_cluster_17,4,10,6,TRUE,0.024705882,0.002470588,0.123529412,TRUE,TRUE,TRUE,TRUE,4.149
snp10_lineage_2_cluster_3.fasta,13,snp10_lineage_2_cluster_3,6,10,10,TRUE,0.032307692,0.003230769,0.161538462,TRUE,TRUE,TRUE,TRUE,5.778
snp10_lineage_2_cluster_7.fasta,14,snp10_lineage_2_cluster_7,5,10,8,TRUE,0.03,0.003,0.15,TRUE,TRUE,TRUE,TRUE,2.398
snp10_lineage_3_cluster_1.fasta,14,snp10_lineage_3_cluster_1,7,10,12,TRUE,0.03,0.003,0.15,TRUE,TRUE,TRUE,TRUE,16.338
snp10_lineage_4_cluster_107.fasta,22,snp10_lineage_4_cluster_107,6,10,10,TRUE,0.019090909,0.001909091,0.095454545,TRUE,TRUE,TRUE,TRUE,6.633
snp10_lineage_4_cluster_11.fasta,34,snp10_lineage_4_cluster_11,13,10,24,TRUE,0.012352941,0.001235294,0.061764706,TRUE,TRUE,TRUE,TRUE,15.092
snp10_lineage_4_cluster_120.fasta,12,snp10_lineage_4_cluster_120,4,10,6,TRUE,0.035,0.0035,0.175,TRUE,TRUE,TRUE,TRUE,1.35
